"Weeks","TrtA","TrtB","TrtC"
1,14,25,26
2,26,21,27
3,22,24,11
4,23,28,24
5,8,27,23
6,18,20,30
7,16,28,24
8,13,21,23
9,17,27,17
10,15,26,21
